epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1363.37,1.22956,1.28759,1.39354,0.78743,0.66236,0.71894,0.46491,1.36395,1.4155,1.50774,0.00828443,0.00828443,0.00828443
43,1394.84,1.29941,1.36284,1.42976,0.85279,0.60999,0.72239,0.47851,1.26746,1.29713,1.42392,0.00820525,0.00820525,0.00820525
44,1427.43,1.23834,1.29914,1.39051,0.8344,0.72512,0.80348,0.58602,1.06516,0.99306,1.27781,0.00812468,0.00812468,0.00812468
45,1459.27,1.2523,1.31678,1.42028,0.80474,0.6537,0.75465,0.54542,1.03133,1.12057,1.26692,0.00804277,0.00804277,0.00804277
46,1491.5,1.2145,1.22739,1.36974,0.78543,0.69209,0.77043,0.5382,1.06343,1.17398,1.2784,0.00795954,0.00795954,0.00795954
47,1523.5,1.20547,1.20869,1.36667,0.85308,0.67834,0.78617,0.56429,1.08343,1.04497,1.28397,0.00787503,0.00787503,0.00787503
48,1555.4,1.17506,1.21025,1.35386,0.85415,0.70987,0.78945,0.56473,1.0332,1.06406,1.26946,0.00778929,0.00778929,0.00778929
49,1586.95,1.17773,1.24388,1.34728,0.78302,0.68528,0.73983,0.50882,1.17271,1.23657,1.38267,0.00770234,0.00770234,0.00770234
50,1618.47,1.16714,1.15449,1.33979,0.88081,0.7235,0.8114,0.58454,1.01761,1.01934,1.26104,0.00761423,0.00761423,0.00761423
51,1650.14,1.15624,1.18939,1.32796,0.84639,0.62638,0.72163,0.523,1.13272,1.37316,1.35478,0.007525,0.007525,0.007525
52,1681.62,1.23096,1.19708,1.36907,0.79029,0.68451,0.75234,0.54528,1.09353,1.20056,1.34299,0.00743468,0.00743468,0.00743468
53,1713.82,1.21028,1.22908,1.3835,0.74964,0.54595,0.63506,0.44091,1.22937,1.42273,1.43364,0.00734332,0.00734332,0.00734332
54,1746.69,1.24817,1.31618,1.40851,0.84288,0.69911,0.78337,0.56037,1.08527,1.09629,1.30843,0.00725094,0.00725094,0.00725094
55,1778.34,1.12745,1.14654,1.34714,0.72905,0.66181,0.71421,0.51622,1.11584,1.29407,1.37557,0.00715761,0.00715761,0.00715761
56,1810.39,1.12965,1.18261,1.31748,0.88065,0.70889,0.80679,0.5883,1.02469,1.01027,1.26529,0.00706335,0.00706335,0.00706335
57,1842.6,1.14192,1.15112,1.32786,0.82103,0.70433,0.80273,0.57701,1.03418,1.04909,1.27527,0.0069682,0.0069682,0.0069682
58,1874.56,1.12697,1.12013,1.32556,0.88488,0.71192,0.79159,0.56793,1.08718,1.01566,1.33383,0.00687222,0.00687222,0.00687222
59,1907.01,1.17083,1.14781,1.35254,0.85623,0.70486,0.78364,0.56746,1.03372,0.98907,1.27416,0.00677543,0.00677543,0.00677543
60,1939.35,1.15927,1.13559,1.33962,0.77762,0.77839,0.80951,0.5778,1.03299,1.07907,1.27789,0.00667789,0.00667789,0.00667789
61,1972.41,1.17955,1.14674,1.35147,0.92251,0.73168,0.81801,0.60209,1.00719,0.94666,1.22044,0.00657963,0.00657963,0.00657963
62,2005.25,1.14078,1.10193,1.32832,0.91943,0.67084,0.80773,0.57307,1.06284,1.04733,1.27672,0.00648071,0.00648071,0.00648071
63,2037.32,1.13918,1.10821,1.33382,0.92494,0.71117,0.81005,0.59095,0.99192,1.05291,1.25266,0.00638115,0.00638115,0.00638115
64,2069.53,1.11138,1.09663,1.32068,0.85119,0.75879,0.83667,0.60599,1.0089,0.89281,1.21826,0.00628101,0.00628101,0.00628101
65,2102.76,1.16628,1.14833,1.33843,0.87295,0.73914,0.81425,0.58978,1.0129,0.91699,1.24712,0.00618034,0.00618034,0.00618034
66,2134.87,1.09326,1.07966,1.28741,0.82299,0.69668,0.78716,0.58201,0.96485,0.98318,1.21583,0.00607916,0.00607916,0.00607916
67,2167.22,1.066,1.04224,1.28494,0.82213,0.72386,0.79994,0.58213,0.95427,0.99633,1.22988,0.00597754,0.00597754,0.00597754
68,2199.51,1.04177,1.01168,1.27411,0.90829,0.74013,0.83649,0.63269,0.94756,0.88708,1.19014,0.00587551,0.00587551,0.00587551
69,2232.14,1.07962,1.0387,1.27938,0.91211,0.78176,0.86688,0.64992,0.89873,0.77623,1.15197,0.00577311,0.00577311,0.00577311
70,2264.59,1.01678,0.96342,1.24819,0.89329,0.80393,0.871,0.68006,0.80965,0.76859,1.12381,0.0056704,0.0056704,0.0056704
